Gas Station,Address,Link,Бензин A100,Бензин A95,Бензин A95+,Бензин A98,Дизел,Дизел премиум,Електричество,Метан,Пропан Бутан,Navigation links
 Eko 1164 София – Долни Богров,с. Долни Богров,https://bg.fuelo.net/gasstation/id/257?lang=bg,3.08 лв/л.(kw/h),2.67 лв/л.(kw/h),None,None,3.04 лв/л.(kw/h),3.41 лв/л.(kw/h),None,None,None,"https://www.google.com/maps/dir/?api=1&destination=42.706902,23.468399&travelmode=driving"
 Eko 1901 София - Младост,бул. Цариградско шосе (кръговото на 4-и км),https://bg.fuelo.net/gasstation/id/260?lang=bg,3.12 лв/л.(kw/h),2.71 лв/л.(kw/h),None,None,3.08 лв/л.(kw/h),3.45 лв/л.(kw/h),None,None,1.23 лв/л.(kw/h),"https://www.google.com/maps/dir/?api=1&destination=42.667801,23.368200&travelmode=driving"
 Eko 1117 София – Черни връх,"кв. Лозенец, бул. Черни връх (преди Околовръстен път)",https://bg.fuelo.net/gasstation/id/267?lang=bg,3.12 лв/л.(kw/h),2.71 лв/л.(kw/h),None,None,3.08 лв/л.(kw/h),3.45 лв/л.(kw/h),None,None,1.23 лв/л.(kw/h),"https://www.google.com/maps/dir/?api=1&destination=42.651318,23.316212&travelmode=driving"
 Eko 1181 Пражка пролет (Self-Service),ул. Пражка пролет,https://bg.fuelo.net/gasstation/id/269?lang=bg,3.06 лв/л.(kw/h),2.65 лв/л.(kw/h),None,None,2.98 лв/л.(kw/h),3.35 лв/л.(kw/h),None,None,None,"https://www.google.com/maps/dir/?api=1&destination=42.714699,23.305799&travelmode=driving"
 Eko 1192 София – Александър Малинов,бул. Александър Малинов №37,https://bg.fuelo.net/gasstation/id/1549?lang=bg,3.10 лв/л.(kw/h),2.69 лв/л.(kw/h),None,None,3.07 лв/л.(kw/h),3.44 лв/л.(kw/h),None,None,1.22 лв/л.(kw/h),"https://www.google.com/maps/dir/?api=1&destination=42.648991,23.378176&travelmode=driving"
 Eko 1905 София - Царица Йоана,бул. Царица Йоана (Люлин 7),https://bg.fuelo.net/gasstation/id/270?lang=bg,3.06 лв/л.(kw/h),2.65 лв/л.(kw/h),None,None,3.02 лв/л.(kw/h),3.39 лв/л.(kw/h),None,None,1.19 лв/л.(kw/h),"https://www.google.com/maps/dir/?api=1&destination=42.715008,23.263046&travelmode=driving"
 Eko 1160 София - България,бул. България и ул. Д-р Стефан Сарафов,https://bg.fuelo.net/gasstation/id/272?lang=bg,3.12 лв/л.(kw/h),2.71 лв/л.(kw/h),None,None,3.08 лв/л.(kw/h),3.45 лв/л.(kw/h),None,None,1.23 лв/л.(kw/h),"https://www.google.com/maps/dir/?api=1&destination=42.680866,23.308319&travelmode=driving"
 Eko 1163 София – Ботевградско шосе,бул. Ботевградско шосе,https://bg.fuelo.net/gasstation/id/277?lang=bg,3.08 лв/л.(kw/h),2.67 лв/л.(kw/h),None,None,3.03 лв/л.(kw/h),3.40 лв/л.(kw/h),None,None,1.22 лв/л.(kw/h),"https://www.google.com/maps/dir/?api=1&destination=42.699600,23.368500&travelmode=driving"
 Eko 1906 София - Орион,ул. Адам Мицкевич №1 (модерно предградие),https://bg.fuelo.net/gasstation/id/280?lang=bg,3.06 лв/л.(kw/h),2.65 лв/л.(kw/h),None,None,3.02 лв/л.(kw/h),3.39 лв/л.(kw/h),None,None,1.19 лв/л.(kw/h),"https://www.google.com/maps/dir/?api=1&destination=42.720310,23.279575&travelmode=driving"
 Eko 1904 София - Княжево,бул. Цар Борис III №362,https://bg.fuelo.net/gasstation/id/283?lang=bg,3.05 лв/л.(kw/h),2.64 лв/л.(kw/h),None,None,3.01 лв/л.(kw/h),3.38 лв/л.(kw/h),None,None,1.19 лв/л.(kw/h),"https://www.google.com/maps/dir/?api=1&destination=42.654499,23.227600&travelmode=driving"
 Eko 1182 София - Каменоделска,ул. Каменоделска,https://bg.fuelo.net/gasstation/id/289?lang=bg,3.08 лв/л.(kw/h),2.67 лв/л.(kw/h),None,None,3.05 лв/л.(kw/h),3.42 лв/л.(kw/h),None,None,1.21 лв/л.(kw/h),"https://www.google.com/maps/dir/?api=1&destination=42.710499,23.335800&travelmode=driving"
 Eko 1902 София - Малинова долина,ул. Околовръстен път,https://bg.fuelo.net/gasstation/id/290?lang=bg,3.12 лв/л.(kw/h),2.71 лв/л.(kw/h),None,None,3.08 лв/л.(kw/h),3.45 лв/л.(kw/h),None,None,1.23 лв/л.(kw/h),"https://www.google.com/maps/dir/?api=1&destination=42.628502,23.345900&travelmode=driving"
 Eko 1112 София - Резбарска,ул. Резбарска и ул. Никола Войновски,https://bg.fuelo.net/gasstation/id/292?lang=bg,3.08 лв/л.(kw/h),2.67 лв/л.(kw/h),None,None,3.03 лв/л.(kw/h),3.40 лв/л.(kw/h),None,None,1.21 лв/л.(kw/h),"https://www.google.com/maps/dir/?api=1&destination=42.710541,23.349339&travelmode=driving"
 Eko 1162 София - Люлин 1,бул. Панчо Владигеров и ул. 701,https://bg.fuelo.net/gasstation/id/204?lang=bg,3.04 лв/л.(kw/h),2.63 лв/л.(kw/h),None,None,2.99 лв/л.(kw/h),3.36 лв/л.(kw/h),None,None,1.19 лв/л.(kw/h),"https://www.google.com/maps/dir/?api=1&destination=42.718384,23.254385&travelmode=driving"
 Eko 1185 София - Дружба I,бул. Професор Цветан Лазаров,https://bg.fuelo.net/gasstation/id/207?lang=bg,3.09 лв/л.(kw/h),2.68 лв/л.(kw/h),None,None,3.07 лв/л.(kw/h),3.44 лв/л.(kw/h),None,None,1.22 лв/л.(kw/h),"https://www.google.com/maps/dir/?api=1&destination=42.669510,23.384174&travelmode=driving"
